,pro,name_eng,pro_counts,centery,centerx
0,서울,Seoul,344,37.56,127.0
1,강원도,Gangwon-do,160,37.55,128.21
2,전라북도,Jeollabuk-do,68,35.71,127.14
3,경상남도,Gyeongsangnam-do,101,35.25,128.66
4,경기도,Gyeonggi-do,203,37.56,127.19
5,부산,Busan,92,35.19,129.05
6,대구,Daegu,58,35.79,128.58
7,제주도,Jeju-do,61,33.36,126.54
8,경상북도,Gyeongsangbuk-do,81,36.24,128.66
9,광주,Gwangju,26,35.12,126.83
10,전라남도,Jeollanam-do,75,34.81,126.89
11,인천,Incheon,31,37.46,126.57
12,충청북도,Chungcheongbuk-do,48,36.62,127.92
13,대전,Daejeon,31,36.32,127.37
14,충청남도,Chungcheongnam-do,72,36.55,126.77
15,울산,Ulsan,28,35.51,129.23
16,세종특별자치시,Sejongsi,6,36.48,127.28
